id,edad
1191418,27.0
1111534,28.0
1597451,24.0
2216770,19.0
385318,34.0
1819311,25.0
842865,36.0
2550050,25.0
2189070,
1101716,26.0
1086963,25.0
1859553,27.0
2022732,
2110335,18.0
122667,35.0
1018416,28.0
1925365,22.0
1485215,21.0
976095,27.0
1983471,
1597454,25.0
978370,29.0
1180582,25.0
1598435,
1186494,29.0
2468954,23.0
859971,27.0
2218842,21.0
2461572,20.0
897094,27.0
983526,28.0
2277868,19.0
914617,27.0
2118524,23.0
37937,38.0
892444,33.0
971217,30.0
974670,26.0
1469748,35.0
988953,26.0
925193,32.0
978872,28.0
966511,28.0
1126363,26.0
1018417,26.0
1096727,
2453686,
989996,29.0
2472916,
1066572,25.0
2511098,26.0
947212,30.0
2469038,25.0
941421,28.0
1549513,
2153445,26.0
2606982,
1887188,25.0
1979971,20.0
1125078,23.0
2287557,19.0
83700,35.0
2169738,19.0
2169729,19.0
1084966,26.0
941498,27.0
882841,30.0
155700,32.0
1831678,28.0
239254,35.0
2309679,
1018466,28.0
2159407,
2077670,26.0
1003016,24.0
1466810,23.0
