player id,team id,player,team,posicion,Edad,appearances,minutesPlayed,rating,goals,assists,goalsAssistsSum,penaltyGoals,expectedGoals,expectedAssists,totalShots,shotsOnTarget,shotsOffTarget,bigChancesCreated,keyPasses,totalPasses,accuratePassesPercentage,successfulDribbles,tackles,interceptions,ballRecovery,clearances,blockedShots,totalDuelsWon,duelLost,wasFouled,fouls,yellowCards,redCards,ownGoals,goals_per90,assists_per90,goalsAssistsSum_per90,expectedGoals_per90,expectedAssists_per90,totalShots_per90,shotsOnTarget_per90,keyPasses_per90,successfulDribbles_per90,tackles_per90,interceptions_per90,ballRecovery_per90,totalDuelsWon_per90,wasFouled_per90,fouls_per90,yellowCards_per90,redCards_per90
249383,222120,Claudio Corvalán,Deportivo Madryn,Defensor,37,9,810.0,7.65,1,0,0.0,0,,,1.0,0.0,,,1.0,356.0,79.49,1.0,,,124.0,75.0,9.0,47.0,28.0,11.0,4.0,1,0,0.0,0.11,0.0,0.0,,,0.11,0.0,0.11,0.11,,,13.78,5.22,1.22,0.44,0.11,0.0
1191418,213042,Marcelo Eggel,Deportivo Maipú,Mediocampista,27,18,1546.0,7.61,5,4,9.0,1,,,52.0,24.0,,,27.0,609.0,70.11,40.0,,,95.0,10.0,2.0,109.0,150.0,26.0,3.0,4,0,0.0,0.29,0.23,0.52,,,3.03,1.4,1.57,2.33,,,5.53,6.35,1.51,0.17,0.23,0.0
1117068,23950,Lautaro Ovando,San Martín de Tucumán,Delantero,23,4,273.0,7.58,3,0,3.0,0,,,5.0,4.0,,,7.0,63.0,61.9,10.0,,,14.0,1.0,0.0,39.0,51.0,9.0,5.0,0,0,0.0,0.99,0.0,0.99,,,1.65,1.32,2.31,3.3,,,4.62,12.86,2.97,1.65,0.0,0.0
1132948,3207,Ignacio Lago,Club Atletico Colón,Mediocampista,24,27,2308.0,7.54,11,6,17.0,4,,,79.0,25.0,,,35.0,809.0,71.2,76.0,,,134.0,21.0,1.0,250.0,292.0,44.0,30.0,3,0,0.0,0.43,0.23,0.66,,,3.08,0.97,1.36,2.96,,,5.23,9.75,1.72,1.17,0.12,0.0
1109319,270344,Marcos Roseti,Ferrocarril Midland,Mediocampista,29,24,1986.0,7.48,3,4,7.0,0,,,43.0,18.0,,,54.0,1034.0,77.27,46.0,,,126.0,2.0,2.0,228.0,296.0,73.0,19.0,3,0,0.0,0.14,0.18,0.32,,,1.95,0.82,2.45,2.08,,,5.71,10.33,3.31,0.86,0.14,0.0
943794,5292,Francisco Molina,Gimnasia Y Esgrima De Jujuy,Mediocampista,35,25,1796.0,7.46,3,7,11.0,0,,,53.0,23.0,,,43.0,459.0,57.73,89.0,,,64.0,5.0,0.0,169.0,203.0,18.0,21.0,4,0,0.0,0.15,0.35,0.55,,,2.66,1.15,2.15,4.46,,,3.21,8.47,0.9,1.05,0.2,0.0
1111534,270344,Agustin Campana,Ferrocarril Midland,Mediocampista,28,18,1255.0,7.43,2,2,4.0,0,,,62.0,20.0,,,30.0,470.0,63.4,33.0,,,92.0,8.0,2.0,124.0,139.0,18.0,17.0,2,0,0.0,0.14,0.14,0.29,,,4.45,1.43,2.15,2.37,,,6.6,8.89,1.29,1.22,0.14,0.0
1597451,34976,Mayco  Bergia,Atlético de Rafaela,Portero,24,27,2430.0,7.42,0,1,1.0,0,,,0.0,0.0,,,0.0,484.0,79.34,0.0,,,123.0,8.0,0.0,11.0,4.0,3.0,0.0,3,0,0.0,0.0,0.04,0.04,,,0.0,0.0,0.0,0.0,,,4.56,0.41,0.11,0.0,0.11,0.0
830742,23950,Gabriel Carabajal,San Martín de Tucumán,Mediocampista,34,8,617.0,7.41,2,2,2.0,1,,,14.0,4.0,,,10.0,230.0,77.83,6.0,,,27.0,1.0,0.0,47.0,45.0,23.0,7.0,1,0,0.0,0.29,0.29,0.29,,,2.04,0.58,1.46,0.88,,,3.94,6.86,3.35,1.02,0.15,0.0
791146,112497,Daniel Franco,Los Andes,Defensor,35,25,2250.0,7.36,0,0,0.0,0,,,10.0,2.0,,,2.0,1055.0,77.16,3.0,,,341.0,101.0,18.0,178.0,129.0,20.0,15.0,4,1,0.0,0.0,0.0,0.0,,,0.4,0.08,0.08,0.12,,,13.64,7.12,0.8,0.6,0.16,0.04
